2017;9;1;1;0
2017;9;1;2;0
2017;9;1;3;0
2017;9;1;4;0
2017;9;1;5;0
2017;9;1;6;0
2017;9;1;7;0
2017;9;1;8;0
2017;9;1;9;0
2017;9;1;10;0
2017;9;1;11;0
2017;9;1;12;0
2017;9;1;13;0
2017;9;1;14;0
2017;9;1;15;0
2017;9;1;16;0
2017;9;1;17;0
2017;9;1;18;0
2017;9;1;19;0
2017;9;1;20;0
2017;9;1;21;0
2017;9;1;22;0
2017;9;1;23;0
2017;9;1;24;0
2017;9;2;1;0
2017;9;2;2;0
2017;9;2;3;0
2017;9;2;4;0
2017;9;2;5;0
2017;9;2;6;0
2017;9;2;7;0
2017;9;2;8;0
2017;9;2;9;0
2017;9;2;10;0
2017;9;2;11;0
2017;9;2;12;0
2017;9;2;13;0
2017;9;2;14;0
2017;9;2;15;0
2017;9;2;16;0
2017;9;2;17;0
2017;9;2;18;0
2017;9;2;19;0
2017;9;2;20;0
2017;9;2;21;0
2017;9;2;22;0
2017;9;2;23;0
2017;9;2;24;0
2017;9;3;1;0
2017;9;3;2;0
2017;9;3;3;0
2017;9;3;4;0
2017;9;3;5;0
2017;9;3;6;0
2017;9;3;7;0
2017;9;3;8;0
2017;9;3;9;0
2017;9;3;10;0
2017;9;3;11;0
2017;9;3;12;0
2017;9;3;13;0
2017;9;3;14;3.4
2017;9;3;15;0.2
2017;9;3;16;3.6
2017;9;3;17;0
2017;9;3;18;0
2017;9;3;19;0
2017;9;3;20;0
2017;9;3;21;0
2017;9;3;22;0
2017;9;3;23;0
2017;9;3;24;0
2017;9;4;1;0
2017;9;3;2;0
2017;9;3;3;0
2017;9;3;4;0
2017;9;3;5;0
2017;9;3;6;0
2017;9;3;7;0
2017;9;3;8;0
2017;9;3;9;0
2017;9;3;10;0
2017;9;3;11;0.2
2017;9;3;12;0
2017;9;3;13;0
2017;9;3;14;0
2017;9;3;15;0
2017;9;3;16;6.2
2017;9;3;17;1.2
2017;9;3;18;0
2017;9;3;19;0
2017;9;3;20;0
2017;9;3;21;0
2017;9;3;22;0
2017;9;3;23;0
2017;9;3;24;0
2017;9;5;1;0
2017;9;5;2;0
2017;9;5;3;0
2017;9;5;4;0
2017;9;5;5;0
2017;9;5;6;0
2017;9;5;7;0
2017;9;5;8;0
